parent_id,formula,strain_percent
mp-861724,Ac2AgIr,-3
mp-861724,Ac2AgIr,0
mp-861724,Ac2AgIr,3
mp-1183076,Ac2AgPb,-3
mp-1183076,Ac2AgPb,0
mp-1183076,Ac2AgPb,3
mp-1207297,Ac2Br2O,-3
mp-1207297,Ac2Br2O,0
mp-1207297,Ac2Br2O,3
mp-1183068,Ac2CdGa,-3
mp-1183068,Ac2CdGa,0
mp-1183068,Ac2CdGa,3
mp-1183063,Ac2CdGe,-3
mp-1183063,Ac2CdGe,0
mp-1183063,Ac2CdGe,3
mp-1183086,Ac2CdHg,-3
mp-1183086,Ac2CdHg,0
mp-1183086,Ac2CdHg,3
mp-862319,Ac2CdSn,-3
mp-862319,Ac2CdSn,0
mp-862319,Ac2CdSn,3
mp-1207291,Ac2Cl2O,-3
mp-1207291,Ac2Cl2O,0
mp-1207291,Ac2Cl2O,3
mp-862786,Ac2CuGe,-3
mp-862786,Ac2CuGe,0
mp-862786,Ac2CuGe,3
mp-861883,Ac2CuIr,-3
mp-861883,Ac2CuIr,0
mp-861883,Ac2CuIr,3
mp-1183120,Ac2CuRu,-3
mp-1183120,Ac2CuRu,0
mp-1183120,Ac2CuRu,3
mp-867122,Ac2CuSi,-3
mp-867122,Ac2CuSi,0
mp-867122,Ac2CuSi,3
mp-865470,Ac2CuSn,-3
mp-865470,Ac2CuSn,0
mp-865470,Ac2CuSn,3
mp-862683,Ac2GaCu,-3
mp-862683,Ac2GaCu,0
mp-862683,Ac2GaCu,3
mp-1183054,Ac2GaSi,-3
mp-1183054,Ac2GaSi,0
mp-1183054,Ac2GaSi,3
mp-867241,Ac2GePd,-3
mp-867241,Ac2GePd,0
mp-867241,Ac2GePd,3
mp-861872,Ac2HgGe,-3
mp-861872,Ac2HgGe,0
mp-861872,Ac2HgGe,3
mp-1183377,Ac2InGa,-3
mp-1183377,Ac2InGa,0
mp-1183377,Ac2InGa,3
mp-865951,Ac2IrAu,-3
mp-865951,Ac2IrAu,0
mp-865951,Ac2IrAu,3
mp-866107,Ac2IrPd,-3
mp-866107,Ac2IrPd,0
mp-866107,Ac2IrPd,3
mp-1183093,Ac2IrRh,-3
mp-1183093,Ac2IrRh,0
mp-1183093,Ac2IrRh,3
mp-1183085,Ac2Mg,-3
mp-1183085,Ac2Mg,0
mp-1183085,Ac2Mg,3
mp-1183089,Ac2Mg,-3
mp-1183089,Ac2Mg,0
mp-1183089,Ac2Mg,3
mp-985286,Ac2Mg,-3
mp-985286,Ac2Mg,0
mp-985286,Ac2Mg,3
mp-1183074,Ac2MgGa,-3
mp-1183074,Ac2MgGa,0
mp-1183074,Ac2MgGa,3
mp-1183078,Ac2MgPb,-3
mp-1183078,Ac2MgPb,0
mp-1183078,Ac2MgPb,3
mp-866103,Ac2MgSn,-3
mp-866103,Ac2MgSn,0
mp-866103,Ac2MgSn,3
mp-1183079,Ac2MgTl,-3
mp-1183079,Ac2MgTl,0
mp-1183079,Ac2MgTl,3
mp-983587,Ac2NiGe,-3
mp-983587,Ac2NiGe,0
mp-983587,Ac2NiGe,3
mp-862849,Ac2NiIr,-3
mp-862849,Ac2NiIr,0
mp-862849,Ac2NiIr,3
mp-11107,Ac2O3,-3
mp-11107,Ac2O3,0
mp-11107,Ac2O3,3
mp-32800,Ac2S3,-3
mp-32800,Ac2S3,0
mp-32800,Ac2S3,3
mp-977351,Ac2S3,-3
mp-977351,Ac2S3,0
mp-977351,Ac2S3,3
mp-862698,Ac2SiAu,-3
mp-862698,Ac2SiAu,0
mp-862698,Ac2SiAu,3
mp-983586,Ac2SiHg,-3
mp-983586,Ac2SiHg,0
mp-983586,Ac2SiHg,3
mp-865855,Ac2SiPd,-3
mp-865855,Ac2SiPd,0
mp-865855,Ac2SiPd,3
mp-864795,Ac2SnHg,-3
mp-864795,Ac2SnHg,0
mp-864795,Ac2SnHg,3
mp-1183072,Ac2TlCd,-3
mp-1183072,Ac2TlCd,0
mp-1183072,Ac2TlCd,3
mp-1183073,Ac2TlIn,-3
mp-1183073,Ac2TlIn,0
mp-1183073,Ac2TlIn,3
mp-1183070,Ac2TlSn,-3
mp-1183070,Ac2TlSn,0
mp-1183070,Ac2TlSn,3
mp-1183077,Ac2YbMg,-3
mp-1183077,Ac2YbMg,0
mp-1183077,Ac2YbMg,3
mp-1183066,Ac2ZnAu,-3
mp-1183066,Ac2ZnAu,0
mp-1183066,Ac2ZnAu,3
mp-865535,Ac2ZnGa,-3
mp-865535,Ac2ZnGa,0
mp-865535,Ac2ZnGa,3
mp-866018,Ac2ZnGe,-3
mp-866018,Ac2ZnGe,0
mp-866018,Ac2ZnGe,3
mp-1183067,Ac2ZnHg,-3
mp-1183067,Ac2ZnHg,0
mp-1183067,Ac2ZnHg,3
mp-1183106,Ac2ZnIn,-3
mp-1183106,Ac2ZnIn,0
mp-1183106,Ac2ZnIn,3
mp-865398,Ac2ZnIr,-3
mp-865398,Ac2ZnIr,0
mp-865398,Ac2ZnIr,3
mp-866289,Ac2ZnSi,-3
mp-866289,Ac2ZnSi,0
mp-866289,Ac2ZnSi,3
mp-1183061,Ac2ZnSn,-3
mp-1183061,Ac2ZnSn,0
mp-1183061,Ac2ZnSn,3
mp-1183080,Ac3Ag,-3
mp-1183080,Ac3Ag,0
mp-1183080,Ac3Ag,3
